URL,XPath 1,XPath 2,XPath 3,XPath 4,XPath 5,XPath 6,XPath 7,XPath 8,XPath 9,XPath 10
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-04,19,20,37,41,58,14,$60 Million,None,None,MD
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-04,19,20,37,41,58,14,$60 Million,None,None,MD
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-08,10,28,39,47,58,22,$70 Million,None,None,"FL, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-11,10,15,33,48,54,34,$80 Million,None,None,NY
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-15,7,8,9,24,29,25,$94 Million,None,None,"GA, NJ, NM"
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-18,13,14,19,31,38,25,$113 Million,None,CO,"CA, CT, IL, WA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-22,1,2,7,9,55,29,$131 Million,None,None,"CA, IN, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-25,8,12,18,55,57,2,$150 Million,None,AZ,"FL, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2014-01-29,11,23,28,32,47,20,$170 Million,None,None,"FL, IL, LA, NJ, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-01,5,12,15,27,38,7,$194 Million,None,"NY, OH","FL (2), MD, NJ, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-05,8,17,32,57,59,24,$220 Million,None,SC,"IL, MN"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-08,24,25,34,37,54,29,$253 Million,None,None,"CA (2), CO, FL, NJ, NY (2), OK, TX, WV"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-12,36,44,49,52,57,1,$286 Million,None,None,"CA, FL, ID, MI, NY, PA (2), WV"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-15,2,9,14,21,23,3,$331 Million,None,TX,"FL (2), GA, IA, MI (2), NY, OH, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-19,1,17,35,49,54,34,$425 Million,CA,TX,"AZ, CA (2), FL (2), GA (2), IN, LA, NY (2), OH, PA, SC, TN (2), WV"
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-22,2,3,13,14,54,4,$40 Million,None,None,NY
https://www.powerball.com/draw-result?gc=powerball&date=2014-02-26,11,12,17,38,42,2,$50 Million,None,None,None
